suburb,suburb_state,numCrimes
reservoir east,VIC,3
acheron,VIC,24
taradale,VIC,128
smythes creek,VIC,97
gunyah gunyah,VIC,6
heathcote junction,VIC,128
tourello,VIC,8
korong vale,VIC,105
bellbridge,VIC,54
gre gre south,VIC,3
binginwarri,VIC,20
diamond creek,VIC,2971
maddingley,VIC,520
barnawartha,VIC,235
greenvale,VIC,3025
springbank,VIC,20
wood wood,VIC,16
buffalo river,VIC,49
corack,VIC,2
fernshaw,VIC,9
clayton,VIC,7537
murtoa,VIC,326
carwarp,VIC,32
briagolong,VIC,202
nulla vale,VIC,7
portland north,VIC,8
tallandoon,VIC,22
porcupine ridge,VIC,5
st leonards,VIC,650
ouyen,VIC,351
talgarno,VIC,22
kalkee,VIC,12
waranga shores,VIC,14
sulky,VIC,28
koroit,VIC,393
bearii,VIC,26
leongatha south,VIC,33
oaklands junction,VIC,69
launching place,VIC,328
port campbell,VIC,131
bailieston,VIC,19
mountain bay,VIC,1
lockwood south,VIC,66
coburg east,VIC,188
wingeel,VIC,10
brenanah,VIC,1
wangaratta south,VIC,112
drouin,VIC,4577
cosgrove south,VIC,13
club terrace,VIC,31
camberwell east,VIC,9
bronzewing,VIC,1
waratah bay,VIC,15
berrybank,VIC,20
wallup,VIC,2
jarvis creek,VIC,4
corack east,VIC,1
yatpool,VIC,17
rochford,VIC,11
cranbourne west,VIC,3478
mount camel,VIC,20
traralgon south,VIC,56
rippleside,VIC,241
kurunjang,VIC,2519
myall,VIC,15
gorae,VIC,23
newborough,VIC,3591
toombullup,VIC,1
connewarre,VIC,130
glenaroua,VIC,34
pine lodge south,VIC,2
ringwood,VIC,15622
maiden gully,VIC,493
arnold,VIC,11
wyuna east,VIC,11
cowes west,VIC,20
western port,VIC,5
nalangil,VIC,9
junortoun,VIC,273
longford,VIC,219
wooragee,VIC,39
boweya north,VIC,10
st albans park,VIC,1055
scarsdale,VIC,151
princes hill,VIC,575
falls creek,VIC,142
devon meadows,VIC,290
jumbuk,VIC,2
earlston,VIC,4
hansonville,VIC,3
moyston,VIC,51
barwon downs,VIC,15
naring,VIC,4
fingal,VIC,143
west bendigo,VIC,9
broadwater,VIC,11
leigh creek,VIC,32
essendon fields,VIC,130
torrumbarry,VIC,84
cheshunt south,VIC,1
porcupine flat,VIC,1
glen creek,VIC,10
kirwans bridge,VIC,6
ravenhall,VIC,2410
lake mundi,VIC,8
teddywaddy,VIC,5
ashbourne,VIC,14
diggers rest,VIC,1088
bulart,VIC,5
horsham,VIC,12091
south wharf,VIC,735
modella,VIC,42
belgrave south,VIC,256
bentleigh,VIC,3682
balmattum,VIC,26
koondrook,VIC,158
ryanston,VIC,20
woosang,VIC,7
glen forbes,VIC,29
eureka,VIC,22
