suburb,suburb_state,numCrimes
Myrtle Park,NSW,0
Sebastopol,NSW,1
Johns River,NSW,24
Noraville,NSW,124
The Entrance,NSW,1043
Woodpark,NSW,47
Blackwall,NSW,96
Hinchinbrook,NSW,285
Rushcutters Bay,NSW,155
Mumbulla Mountain,NSW,0
Gradys Creek,NSW,6
Centennial Park,NSW,576
Bohena Creek,NSW,5
Roselands,NSW,530
Myocum,NSW,20
Warranulla,NSW,2
Brimbin,NSW,2
Lightning Ridge,NSW,509
Pheasants Nest,NSW,31
Bowna,NSW,3
Upsalls Creek,NSW,7
Beecroft Peninsula,NSW,7
Taylors Beach,NSW,32
Pitt Town,NSW,86
Constitution Hill,NSW,173
Cobargo,NSW,29
Lakesland,NSW,13
Bellingen,NSW,252
Murrawombie,NSW,1
Wilcannia,NSW,431
Stockinbingal,NSW,18
Lewinsbrook,NSW,1
Repton,NSW,28
Nambucca Heads,NSW,862
Moollattoo,NSW,0
Bawley Point,NSW,35
Paradise,NSW,0
Gulargambone,NSW,120
Warragamba,NSW,42
Darlinghurst,NSW,2556
Marulan,NSW,82
Kulnura,NSW,14
Mullaway,NSW,27
Glen Alice,NSW,1
Caddens,NSW,59
Coolangatta,NSW,8
Yarrawarrah,NSW,54
New Lambton,NSW,549
Fernmount,NSW,17
Pipeclay,NSW,4
Maroota,NSW,21
Miandetta,NSW,5
Waterfall,NSW,81
Upper Mangrove,NSW,0
Lilyfield,NSW,420
Cheero Point,NSW,1
Tantangara,NSW,1
Timor,NSW,0
Tullibigeal,NSW,21
Maimuru,NSW,4
Glenfield Park,NSW,462
Bowman Farm,NSW,0
Windsor Downs,NSW,21
Sextonville,NSW,4
South Coogee,NSW,386
Jeremadra,NSW,20
North Dorrigo,NSW,2
Narwee,NSW,286
Wakeley,NSW,127
Warrimoo,NSW,110
Bateau Bay,NSW,817
Ironmungy,NSW,0
Worlds End,NSW,1
Wollogorang,NSW,1
Bexley,NSW,643
Denham Court,NSW,155
Garden Suburb,NSW,46
Gloucester,NSW,189
Caragabal,NSW,9
Connells Point,NSW,45
Kurri Kurri,NSW,631
Palmers Oaky,NSW,2
Lane Cove North,NSW,276
Concord,NSW,417
Denman,NSW,107
Coppabella,NSW,0
Edgeroi,NSW,8
Euberta,NSW,1
Woolgarlo,NSW,1
Berkeley Vale,NSW,349
North Yeoval,NSW,0
Sanger,NSW,1
Terara,NSW,21
Wilpinjong,NSW,0
Fullerton Cove,NSW,15
Khatambuhl,NSW,0
Lower Southgate,NSW,8
Blowering,NSW,1
Uralla,NSW,128
Newington,NSW,151
Kearns,NSW,47
Hanwood,NSW,55
Bilgola Plateau,NSW,60
Tweed Heads,NSW,1382
Holgate,NSW,14
Greenridge,NSW,2
Brockley,NSW,2
Strathfield,NSW,2161
Illaroo,NSW,1
Mallabula,NSW,34
Kunghur,NSW,10
Burrundulla,NSW,17
Bellawongarah,NSW,3
Crowdy Bay National Park,NSW,3
Pigeonbah,NSW,1
Ermington,NSW,567
Swansea,NSW,342
Vaucluse,NSW,253
Tennyson Point,NSW,14
Nimmo,NSW,0
South Grafton,NSW,1150
Kemps Creek,NSW,183
Cudgegong,NSW,10
Wantiool,NSW,0
Wereboldera,NSW,1
Cunninyeuk,NSW,0
Ettalong Beach,NSW,448
Packsaddle,NSW,1
Yantabulla,NSW,2
Muscle Creek,NSW,4
Hayes Gap,NSW,3
Woronora,NSW,43
Hurstville,NSW,3911
Fernleigh,NSW,1
Coalcliff,NSW,28
Pinnacle,NSW,2
Fawcetts Plain,NSW,3
Bango,NSW,4
South Turramurra,NSW,67
Kalang,NSW,4
Golspie,NSW,5
Termeil,NSW,17
Bronte,NSW,221
Eurimbla,NSW,0
Koraleigh,NSW,6
Wandera,NSW,2
Abbotsbury,NSW,106
Hawks Nest,NSW,139
Berringer Lake,NSW,1
Duncans Creek,NSW,0
Minto Heights,NSW,33
Bukkulla,NSW,3
The Rocks,NSW,722
Milparinka,NSW,1
Coolabah,NSW,4
Humula,NSW,12
Bunnan,NSW,15
Lemington,NSW,3
Dolphin Point,NSW,9
Southgate,NSW,5
Mount Adrah,NSW,2
Bewong,NSW,2
Jembaicumbene,NSW,0
Irvington,NSW,7
Munyabla,NSW,0
Grose Wold,NSW,9
Cowper,NSW,0
Carrai,NSW,2
Babyl Creek,NSW,1
Cobar,NSW,545
Merewether Heights,NSW,59
Hornsby Heights,NSW,82
Erin Vale,NSW,0
Taradale,NSW,1
Fullerton,NSW,8
Willow Tree,NSW,33
Salamander Bay,NSW,316
Creewah,NSW,0
Lemon Tree,NSW,8
Comobella,NSW,2
Swanhaven,NSW,2
Gladesville,NSW,485
Mullumbimby Creek,NSW,16
Dyrring,NSW,1
Moruya,NSW,561
Jerrawa,NSW,11
Wentworth,NSW,160
Stroud Hill,NSW,2
Clarence,NSW,17
Lakemba,NSW,911
Cobaki,NSW,7
Yass River,NSW,9
Camp Creek,NSW,0
Umina Beach,NSW,988
Mount Tomah,NSW,4
Spencer,NSW,12
Russell Vale,NSW,96
Regents Park,NSW,324
Corrowong,NSW,0
Brayton,NSW,8
Picketts Valley,NSW,9
Rawsonville,NSW,5
Valla Beach,NSW,41
Haymarket,NSW,7944
Bargo,NSW,243
Seaforth,NSW,247
Cootamundra,NSW,679
Honeybugle,NSW,0
Turramurra,NSW,335
Stanwell Tops,NSW,11
Collins Creek,NSW,17
Rouchel Brook,NSW,1
Wollumboola,NSW,8
Benandarah,NSW,12
Blackmans Point,NSW,13
Mount Seaview,NSW,1
Cumberland Reach,NSW,7
Belfield,NSW,188
Coolagolite,NSW,8
Warraderry,NSW,0
Dunmore,NSW,49
Lochiel,NSW,11
Millingandi,NSW,12
Rufus,NSW,5
Chillingham,NSW,6
Babinda,NSW,0
Bendalong,NSW,10
Tallwood,NSW,1
Wentworth Point,NSW,366
Nattai,NSW,1
Rookhurst,NSW,0
Gosford,NSW,5187
Cleveland,NSW,1
Lynwood,NSW,4
Beckom,NSW,12
Grays Point,NSW,69
Keith Hall,NSW,5
Swan Bay,NSW,15
Moore Creek,NSW,57
Bakers Creek,NSW,18
Parkesbourne,NSW,3
Minimbah,NSW,7
Putney,NSW,163
Numbaa,NSW,8
Moruya Heads,NSW,47
Bundure,NSW,0
Binya,NSW,4
Narooma,NSW,309
Abernethy,NSW,12
Triamble,NSW,4
Koonorigan,NSW,9
Browns Creek,NSW,9
Trungley Hall,NSW,4
Georgetown,NSW,94
Cringila,NSW,278
Saddleback Mountain,NSW,2
Bunnaloo,NSW,2
Book Book,NSW,1
Eveleigh,NSW,138
Howes Valley,NSW,3
Doyles Creek,NSW,0
Mount Hope,NSW,4
Arumpo,NSW,1
Muli Muli,NSW,5
Lisarow,NSW,247
Faulkland,NSW,2
Northmead,NSW,530
Appleby,NSW,1
Red Head,NSW,21
La Perouse,NSW,71
Kunama,NSW,1
The Hill,NSW,107
Rockdale,NSW,1327
Allynbrook,NSW,3
Sodwalls,NSW,3
Lyndhurst,NSW,15
Fargunyah,NSW,0
Yanderra,NSW,14
Blackville,NSW,1
Upper Duck Creek,NSW,0
Erskineville,NSW,459
Little Back Creek,NSW,0
Bishops Bridge,NSW,5
Hexham,NSW,255
Palmers Channel,NSW,3
Tomalla,NSW,4
Cattle Creek,NSW,1
Narraweena,NSW,260
Oxley Park,NSW,278
Wee Waa,NSW,218
Wallalong,NSW,21
Parma,NSW,1
Peacock Creek,NSW,0
Munghorn,NSW,0
Mount Kembla,NSW,16
Coniston,NSW,548
Mumblebone Plain,NSW,1
Green Valley,NSW,750
Portland,NSW,119
Knorrit Flat,NSW,2
Huntleys Cove,NSW,23
Googong,NSW,103
Yowrie,NSW,1
Colyton,NSW,554
Bulgary,NSW,0
Farringdon,NSW,0
Furracabad,NSW,2
Barooga,NSW,103
Kings Forest,NSW,3
Conjola Park,NSW,10
Tatham,NSW,2
Avalon Beach,NSW,301
Bringenbrong,NSW,0
Tuncurry,NSW,612
Budawang,NSW,1
South Hurstville,NSW,200
Tuross,NSW,0
Dunville Loop,NSW,0
Glen Allen,NSW,2
Glenorie,NSW,59
Cliftleigh,NSW,73
White Cliffs,NSW,4
Kundabung,NSW,25
Wean,NSW,2
Purlewaugh,NSW,0
Rappville,NSW,11
Palmers Island,NSW,14
Giants Creek,NSW,6
Coreen,NSW,3
Lavender Bay,NSW,37
Dandry,NSW,4
Osterley,NSW,2
Fingal Head,NSW,55
Fishermans Paradise,NSW,10
Oran Park,NSW,344
Scotland Island,NSW,36
Reedy Swamp,NSW,1
Biniguy,NSW,5
South Ballina,NSW,3
Crawney,NSW,3
Mount Pleasant,NSW,23
Greengrove,NSW,7
Bowman,NSW,7
Larbert,NSW,4
Revesby Heights,NSW,42
Coolgardie,NSW,0
Wardell,NSW,67
East Maitland,NSW,1793
Berrambool,NSW,5
Beaumont Hills,NSW,269
East Tamworth,NSW,228
Rock Valley,NSW,3
Mayfield North,NSW,4
Barnsley,NSW,93
Richmond,NSW,1085
Wilberforce,NSW,105
Castle Rock,NSW,4
Bombowlee,NSW,6
Tallimba,NSW,9
Yellow Dam,NSW,0
Monga,NSW,1
Worrowing Heights,NSW,29
Cartwright,NSW,263
Edensor Park,NSW,238
St Peters,NSW,262
Whoota,NSW,1
Cordeaux Heights,NSW,67
The Hatch,NSW,0
Warren,NSW,320
Galston,NSW,118
Badgerys Creek,NSW,22
Coomoo Coomoo,NSW,1
Cuttabri,NSW,3
Goolma,NSW,14
Caldwell,NSW,1
Cabbage Tree Island,NSW,3
Kurrajong Hills,NSW,8
Yallaroi,NSW,1
West Ryde,NSW,551
Queens Pinch,NSW,2
Falbrook,NSW,1
Hillsborough,NSW,25
Coggan,NSW,2
Border Ranges,NSW,0
Mummel,NSW,0
Ellerslie,NSW,1
Glenmore,NSW,2
Westmead,NSW,1134
Wanaaring,NSW,10
Thule,NSW,0
Merah North,NSW,2
Moppy,NSW,0
Cedar Creek,NSW,6
East Corrimal,NSW,184
Bournda,NSW,1
Harparary,NSW,0
Afterlee,NSW,2
Cedar Point,NSW,4
Kareela,NSW,43
Kangiara,NSW,1
Wimborne,NSW,0
Buckra Bendinni,NSW,2
Gibraltar Range,NSW,4
Springrange,NSW,8
Tyagarah,NSW,209
Billinudgel,NSW,43
Luddenham,NSW,96
Lambton,NSW,324
Wambangalang,NSW,2
Tibbuc,NSW,0
Arcadia,NSW,30
Corang,NSW,0
Conargo,NSW,1
Doon Doon,NSW,5
Eremerang,NSW,2
Lower Dyraaba,NSW,5
Coree,NSW,3
Murrurundi,NSW,74
Belrose,NSW,263
Ku-Ring-Gai Chase,NSW,66
Mundongo,NSW,0
North Arm,NSW,3
Dorrigo,NSW,61
Irymple,NSW,0
Marlee,NSW,3
Blairmount,NSW,25
Mollyan,NSW,3
Bemboka,NSW,38
Hannam Vale,NSW,6
Lacmalac,NSW,2
Belgravia,NSW,1
Wyee Point,NSW,64
Bangor,NSW,122
Little Jacks Creek,NSW,0
Bourkelands,NSW,89
Tuckurimba,NSW,3
Smithfield,NSW,722
Port Stephens,NSW,0
Womboota,NSW,3
Lake Heights,NSW,161
Fairfield,NSW,3114
Moorong,NSW,67
Wyangala,NSW,20
Dungowan,NSW,22
Waukivory,NSW,3
Quanda,NSW,0
Waratah,NSW,1310
Richlands,NSW,1
Yarrowford,NSW,3
Blackalls Park,NSW,107
Dean Park,NSW,135
Cookardinia,NSW,2
Seven Hills,NSW,2380
Fordwich,NSW,6
Macquarie Links,NSW,526
Mellool,NSW,0
Steam Plains,NSW,1
Cryon,NSW,0
Boonal,NSW,3
Mimosa,NSW,2
Abington,NSW,0
Wallamore,NSW,3
Springdale Heights,NSW,235
Oakhurst,NSW,315
Lake Cowal,NSW,3
Chester Hill,NSW,1066
Yerong Creek,NSW,6
Jindera,NSW,53
Moonpar,NSW,4
West Hoxton,NSW,227
Maryville,NSW,74
Ironbark,NSW,0
Illabo,NSW,9
Central Macdonald,NSW,1
Clareville,NSW,33
Karaak Flat,NSW,0
Kurrajong Heights,NSW,17
Brogans Creek,NSW,0
Bielsdown Hills,NSW,12
Millbank,NSW,9
Smeaton Grange,NSW,119
Kalaru,NSW,21
Lansdowne,NSW,59
Buckenderra,NSW,2
Bungaba,NSW,3
Yenda,NSW,86
Leichhardt,NSW,843
Bilambil Heights,NSW,74
Koorawatha,NSW,16
Wyee,NSW,418
Meroo,NSW,0
Nadgee,NSW,0
Braunstone,NSW,8
Morisset Park,NSW,39
North Yalgogrin,NSW,4
Bukalong,NSW,0
Tilpa,NSW,3
Mallee,NSW,5
Oakwood,NSW,7
Coal Point,NSW,18
Cherrybrook,NSW,271
Killawarra,NSW,4
Herons Creek,NSW,17
Abercrombie River,NSW,1
Box Head,NSW,15
Brightwaters,NSW,31
Limekilns,NSW,3
Sleepy Hollow,NSW,2
Blue Vale,NSW,3
Rosemeadow,NSW,522
Hawkesbury Heights,NSW,30
Miller,NSW,558
Currarong,NSW,23
Wyongah,NSW,94
McLeans Ridges,NSW,15
Coopers Shoot,NSW,4
Cobbadah,NSW,0
The Angle,NSW,2
Carinda,NSW,17
Lake Albert,NSW,280
Holroyd,NSW,92
Roseberry Creek,NSW,0
Mogilla,NSW,1
Blakehurst,NSW,204
Renwick,NSW,5
Underbank,NSW,0
Wombat Creek,NSW,0
Hammondville,NSW,78
Woodcroft,NSW,331
Mount Vernon,NSW,38
Waterview,NSW,4
Booral,NSW,21
Merrill,NSW,0
Chittaway Point,NSW,33
Cambra,NSW,0
Englorie Park,NSW,15
Durren Durren,NSW,1
Maules Creek,NSW,11
Glossodia,NSW,63
Bolong,NSW,6
Raworth,NSW,55
Ginghi,NSW,1
Heathcote,NSW,166
Mingoola,NSW,0
Urliup,NSW,13
Berkshire Park,NSW,113
Marrangaroo,NSW,19
Mudgee,NSW,1411
Kinghorne,NSW,3
Willawarrin,NSW,8
Hogarth Range,NSW,0
Neutral Bay,NSW,420
Rossglen,NSW,0
Springwood,NSW,488
Burroway,NSW,18
Clifton,NSW,7
Canonba,NSW,0
Myola,NSW,5
Araluen,NSW,7
Darling Point,NSW,135
Chinnock,NSW,0
Wattle Ponds,NSW,14
Upper Eden Creek,NSW,6
Rock Flat,NSW,3
Barraba,NSW,104
Nyngan,NSW,278
Gunbar,NSW,2
Eltham,NSW,13
Charmhaven,NSW,282
Lowesdale,NSW,2
Budgewoi,NSW,339
Maitland Vale,NSW,11
West Wollongong,NSW,323
Killarney Heights,NSW,55
Denistone,NSW,85
Bogangar,NSW,104
